WELL,I,J,K,DEPTH,WSWP_cost,class_
BEGJP139,122,577,33,4056.0,11425.666625976562,4
BEGJP11P,132,419,63,4016.57,19391.282836914066,4
BEGJP825,133,834,1,4068.74,22115.982666015625,4
BEGJP128,40,554,27,3407.08,11288.516479492188,4
BEGJP889,84,481,212,4008.03,15322.634521484375,4
BEGJP135,131,501,1,3924.15,10960.679931640623,4
BEGJP955,130,58,1,3926.42,13589.923950195312,4
BEGJP512,95,495,1,3559.56,9303.346435546877,4
BEGJP118,132,445,57,3990.57,13126.019165039062,4
BEGJP852,60,461,217,3842.95,10807.919555664062,4
BEGJP118,55,577,1,3446.58,9957.942993164062,4
BEGJP852,78,445,223,3999.94,10622.625732421877,4
BEGJP883,60,347,1,3398.0,8998.370849609375,4
BEGJP882,93,380,2,3456.52,5474.623657226562,4
BEGJP82P,86,323,1,3372.51,3605.0957641601562,4
BEGJP213,138,252,30,4198.62,9985.737060546877,4
BEGJP119,133,434,42,4014.96,6623.8106689453125,4
BEGJP115,134,457,65,4037.0,6273.4578857421875,4
BEGJP118,132,485,35,3965.56,5115.239501953125,4
BEGJP291,107,119,237,4588.37,8476.86669921875,4
BEGJP825,94,365,3,3468.53,6090.0787353515625,4
BEGJP131,127,606,64,4137.72,8317.999145507812,4
BEGJ9P92,59,553,212,3861.29,7156.5416259765625,4
BEGJ9P81,110,579,1,3895.6,3856.6351318359375,4
BEGJ9P88,51,341,1,3642.39,7970.2274169921875,4
BEGJ9P83,121,157,1,3933.43,6921.0244140625,4
BEGJP931,84,313,1,3370.45,3517.64599609375,4
BEGJP882,63,367,1,3356.66,4041.8014526367188,4
BEGJ9P81,120,480,1,3798.85,4078.514526367188,4
BEGJP122,53,561,1,3349.18,4399.301025390625,4
BEGJP858,74,530,240,3920.85,7033.1737060546875,4
BEGJP858,82,467,219,4007.33,6605.4576416015625,4
BEGJP851,74,401,266,3989.73,4941.66455078125,4
BEGJP881,54,435,231,3857.4,6360.7330322265625,4
BEGJP828,116,728,1,4045.5,8363.29150390625,4
BEGJP292,106,95,222,4613.44,8411.18896484375,4
BEGJP259,124,45,217,4552.03,8817.326416015625,4
BEGJP189,109,492,228,4296.9,7020.27587890625,4
BEGJP128,46,390,214,4217.98,7414.6478271484375,4
BEGJP132,154,689,1,4213.21,8818.921630859375,4
BEGJP129,98,723,1,4255.38,9140.197509765623,4
BEGJP125,39,519,1,3329.26,5728.2236328125,4
